0|0.1406480067566914, 0.3505671935067607, 0.0692291606725867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06280716061019462, 0.07048640415699083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04923433792622877, 0.021252066230762062, 0.06280716061019462, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14740763890765454, 0.3493497977538324, 0.06820164066260398, 0.0, 0.0, 0.0, 0.048266532307682596, 0.020525499863898403, 0.061779640600211884, 0.0, 0.1310088012727986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1310088012727986, 0.0, 0.0, 0.0, 0.1310088012727986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1310088012727986, 0.0, 0.05625672054655469, 0.059732159192142996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05178577569380122, 0.19651320190919788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09639544926796383, 0.19651320190919788, 0.0, 0.0, 0.0, 0.3006827068185761, 0.0064482765059149846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2353547034234857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06820164066260398, 0.0, 0.0, 0.023159302943779173, 0.0, 0.0, 0.0, 0.0, 0.06280716061019462, 0.0, 0.39033636652312176, 0.11071055015085024, 0.0, 0.0, 0.0, 0.0, 0.06335862073131551, 0.4297922081442247, 0.0, 0.0, 0.06280716061019462, 0.0, 0.0, 0.0, 0.0, 0.016711026437864186, 0.0, 0.0, 0.06820164066260398, 0.0, 0.0, 0.0
0_left|0.28393605648364356, 0.09810768013313087, 0.10052498550813899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007171209157268514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29381675599437507, 0.016932885477945987, 0.12344724335012228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2770835805482071, 0.0, 0.0, 0.0, 0.0, 0.013406933378471101, 0.0, 0.01126904296142195, 0.15090395819049443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11417622561587265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07862718611719406, 0.4192492839345747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13372939042732523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039539339391257436, 0.4200260855759903, 0.0, 0.0, 0.0, 0.0, 0.12251660616303235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1394350396585905, 0.0, 0.05199126639019672, 0.08820740781635016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12575227486495857, 0.0, 0.2871890415358657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07565453772939017, 0.34814040228814097, 0.13716091427215155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05196452834060294, 0.023814699896790345, 0.0, 0.0, 0.12165444106080514, 0.0, 0.0, 0.0
0_right|0.1410218219814734, 0.14070064753849829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12960638951365577, 0.32720027570503857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007529001880461332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1763268532013688, 0.2114271386502185, 0.12422853102761197, 0.0, 0.0, 0.0, 0.43722421377409826, 0.0030421761629945577, 0.08255012776077246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11987281342848372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1584330006375171, 0.0, 0.011831288669296378, 0.008365984448235032, 0.0, 0.0, 0.0, 0.0, 0.09409879213233702, 0.0, 0.04530845774491909, 0.07665114520268056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060868250770818186, 0.0, 0.0, 0.0, 0.0, 0.4666582134878064, 0.028140129507699656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11967671804913338, 0.022911389227552762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12772413904354044, 0.0, 0.0, 0.08463372469524696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1440042758248276, 0.3494436583575834, 0.08977338610399188, 0.005108965561741618, 0.0, 0.0, 0.0, 0.04648319947536866, 0.24414877495402912, 0.0, 0.0, 0.1320264258323755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1|0.007144524694332383, 0.14472074722388564, 0.15182114975456312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06876605018294918, 0.07867680626777838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6072845990182525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6072845990182525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45546374352441493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1_left|0.07641716751599048, 0.1205962841149889, 0.047475591012732896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47982227278039136, 0.14542072922819085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4784029215496264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16018510076724962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050985323115033024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0019959707933281095, 0.5830018963966191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14542072922819085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09523632071022695, 0.3105218642019001, 0.04818843772463579, 0.0, 0.0, 0.0
1_right|0.1031734127166809, 0.0822317944822809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06791591636149444, 0.2644697267280424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03403161969523908, 0.018542814081840733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03771469541983206, 0.0, 0.0, 0.0, 0.0, 0.018021948517744083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6489303986340821, 0.017188563615189445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005521174979424488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4531472457714818, 0.005417001866605158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2243948469429888, 0.006875425446075778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45545228584918335, 0.002708500933302579, 0.08986704768006858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0947287076365313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05554078192686205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2|0.05856708561104336, 0.15278516075274848, 0.02857726069703971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024230909260227588, 0.012908005212436935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0405264497735604, 0.017133840252222837, 0.05193889966990487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22312607671916654, 0.1592988456695526, 0.05889306196880427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039298381680875114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20745074870374286, 0.3141870114034695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011755504747040782, 0.005532002233901543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1547465143543162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5029765304807745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07321213789737945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25640701738522276, 0.11083196163870915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015827673058107197, 0.1056806089410925, 0.04629078102165122, 0.01727674696132819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4173851639932536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4433278465548366, 0.0, 0.0, 0.0, 0.0, 0.0
2_left|0.06269741992523875, 0.07331506173208242, 0.050390148606580774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005254372834611779, 0.025891712302459707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2542149195297452, 0.11869470172931226, 0.0925367475563246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13321214092106093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10451281339351562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25282733372690247, 0.06280617528871893, 0.0, 0.02594190697135968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09812242861581888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02052489388520226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4966326578119644, 0.06280617528871893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02101765168856891, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3602070190138843, 0.001806190661897799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15436883247206976, 0.00041049787770404525, 0.013470586524850088, 0.03682024808236863, 0.000580531665974433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4175092532191702, 0.016590006498867223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46042334761054493, 0.0, 0.013932759983386389, 0.0, 0.0, 0.0
2_right|0.08029160434782563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21621106530800416, 0.12493648462487841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006828909848134266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18920044759732918, 0.04687529417637739, 0.09007096610039161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021229930305870184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12001859467278385, 0.3825314695113917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11610990929476168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1049887033545558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5285480184134768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07286733495676556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014952957770914686, 0.366139595318349, 0.10514166369627413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02190609483369631, 0.11543934050167656, 0.07157884090303859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45777243947493146, 0.016823410124520665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07908089247293021, 0.13954365345784459, 0.1218607188417063, 0.0, 0.0, 0.0
3|0.1465550245641388, 0.03749396142224381, 0.02856290406028603, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03471675488281271, 0.0, 0.04592466927340107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21863578482179633, 0.16310273055828586, 0.06832694696774305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12625993765056034, 0.04750371256264859, 0.11425161624114412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0638685951136043, 0.4493214260719583, 0.0, 0.0, 0.024418482686832763, 0.0, 0.0, 0.0, 0.0451619167096876, 0.020197023151409022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09228003416010032, 0.016553638582919552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05712580812057206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05712580812057206, 0.0, 0.3646815053009979, 0.020197023151409022, 0.0, 0.0, 0.0, 0.0, 0.03830789485732479, 0.0, 0.3731569374492317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018817913263247266, 0.0, 0.46645807385768107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35289296380338886, 0.11425161624114412, 0.0, 0.05589368284738325, 0.0, 0.0, 0.0, 0.0451619167096876, 0.011167765742543813, 0.0, 0.0, 0.058357933393760865, 0.0, 0.0, 0.0
